move_number,player,move_notation,time_s,nodes_expanded,depth_reached,score,white_pieces,black_pieces
1,WHITE,a3b4,0.15744194499984587,1752,5,0,12,12
2,BLACK,b6c5,0.16955391299961775,2571,6,0,12,12
3,WHITE,b4a5,0.16781342800004495,2424,6,0,12,12
4,BLACK,d6e5,0.21429114700003993,3985,7,0,12,12
5,WHITE,c3d4,0.1520361259999845,3306,7,0,12,12
6,BLACK,e5c3,0.17464085500068904,3792,9,0,12,12
7,WHITE,b2b6,0.17149735200018768,3482,7,0,11,12
8,BLACK,a7c5,0.2132632670000021,4337,8,0,11,10
9,WHITE,e3d4,0.16556501000013668,4020,7,0,10,10
10,BLACK,c5e3,0.3175799990003725,7272,9,0,10,10
11,WHITE,d2f4,0.22571824800070317,5795,7,0,9,10
12,BLACK,f6e5,0.24822987399966223,6319,8,0,9,9
13,WHITE,f4d6,0.33684319900021364,10004,9,0,9,9
14,BLACK,c7e5,0.20174500000030093,5280,7,0,9,8
15,WHITE,g3f4,0.15012991899948247,4560,7,0,8,8
16,BLACK,e5g3,0.2290859320000891,7132,9,0,8,8
17,WHITE,f2h4,0.18809455599966896,4977,7,0,7,8
18,BLACK,h6g5,0.22236686199994438,5127,8,0,7,7
19,WHITE,h4f6,0.24743664200013882,7337,9,0,7,7
20,BLACK,e7g5,0.32109141599994473,10523,8,0,7,6
21,WHITE,h2g3,0.17894295200039778,4767,7,0,6,6
22,BLACK,g5f4,0.15185507899968798,3210,7,0,6,6
23,WHITE,g3e5,0.19519555699935154,5619,9,0,6,6
24,BLACK,d8c7,0.15179925500069658,4357,6,0,6,5
25,WHITE,a5b6,0.17003285299961135,5885,8,0,6,5
26,BLACK,c7a5,0.29690301999926305,9700,9,0,6,5
27,WHITE,e5d6,0.1578184190002503,4607,7,0,5,5
28,BLACK,a5b4,0.19892757599973265,5865,7,0,5,5
29,WHITE,a1b2,0.16513673499957804,4485,7,0,5,5
30,BLACK,b4a3,0.1656836000001931,3885,7,0,5,5
31,WHITE,b2c3,0.20781486600026255,5384,7,0,5,5
32,BLACK,g7f6,0.15623600500020984,4128,6,0,5,5
33,WHITE,c3d4,0.1650782420001633,4961,7,0,5,5
34,BLACK,f6g5,0.15373510799963697,3955,6,0,5,5
35,WHITE,d4c5,0.22554970800047158,7383,7,0,5,5
36,BLACK,g5f4,0.25607039100032125,6777,7,0,5,5
37,WHITE,c5b6,0.1537338030002502,3575,7,0,5,5
38,BLACK,b8a7,0.20663321600022755,4397,7,0,5,5
39,WHITE,b6c7,0.20978879399990547,5159,7,0,5,5
40,BLACK,a7b6,0.17399250099970232,4464,6,0,5,5
41,WHITE,c7a5,0.24010455700044986,8104,10,0,5,5
42,BLACK,f4e3,0.19838542199977383,5699,7,0,5,4
43,WHITE,d6c7,0.22368833299969992,5227,8,0,5,4
44,BLACK,f8e7,0.21404557799996837,4872,7,0,5,4
45,WHITE,c7b8,0.32912963800026773,9557,8,0,5,4
46,BLACK,h8g7,0.42845703500006493,10637,7,0,5,4
47,WHITE,b8e5,0.16693815700000414,5284,7,0,5,4
48,BLACK,e7f6,0.2202249629999642,7323,7,0,5,4
49,WHITE,e5c3,0.1606162130001394,5632,6,0,5,4
50,BLACK,f6g5,0.1910764170006587,7464,9,0,5,4
51,WHITE,c3h8,0.15063024800019775,5371,27,0,5,4
52,BLACK,g5f4,0.1280227659999582,5416,50,0,5,3
53,WHITE,e1d2,0.162038250000478,5882,7,0,5,3
54,BLACK,f4g3,0.0019596490001276834,172,50,0,5,3
55,WHITE,d2h2,0.0020461530002648942,104,50,0,5,3
56,BLACK,a3b2,0.0006116189997555921,52,50,0,5,1
57,WHITE,h8a1,0.0007586399997308035,100,50,0,5,1
